ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-2430N,NP_010167,P52891,DIP-2430N,NP_010167,P52891
DIP-2423N,NP_010382,Q03834,DIP-2416N,NP_014317,P14242
DIP-1747N,NP_013125,P39929,DIP-1745N,NP_015323,Q12483
DIP-233N,NP_011946,P32361,DIP-2392N,NP_012500,P16474
DIP-5602N,NP_116683,P43605,DIP-2417N,NP_009645,P15873
DIP-2417N,NP_009645,P15873,DIP-923N,NP_015343,Q12495
DIP-3930N,NP_009534,P38207,DIP-2417N,NP_009645,P15873
DIP-6579N,NP_010784,Q04373,DIP-1206N,NP_012792,P36068
DIP-44N,NP_011075,P13393,DIP-152N,NP_010939,P32569
DIP-725N,NP_010692,P34087,DIP-152N,NP_010939,P32569
DIP-6579N,NP_010784,Q04373,DIP-2037N,NP_009688,P38272
DIP-49371N,-,Q05567,DIP-49371N,-,Q05567
DIP-5813N,NP_010532,Q03784,DIP-6461N,NP_010695,Q04183
DIP-6482N,NP_013945,Q03660,DIP-6461N,NP_010695,Q04183
DIP-2119N,NP_012762,P36053,DIP-3823N,NP_015458,Q06505
DIP-2019N,NP_116615,P01123,DIP-6461N,NP_010695,Q04183
DIP-4618N,NP_011600,P53252,DIP-3006N,NP_011646,P53278
DIP-6273N,NP_012817,P34250,DIP-4618N,NP_011600,P53252
DIP-2119N,NP_012762,P36053,DIP-837N,NP_012243,P16370
DIP-2119N,NP_012762,P36053,DIP-611N,NP_010141,P04050
DIP-6461N,NP_010695,Q04183,DIP-4528N,NP_013634,Q03630
DIP-6461N,NP_010695,Q04183,DIP-5288N,NP_010866,P32613
DIP-5104N,NP_011682,P32893,DIP-6461N,NP_010695,Q04183
DIP-611N,NP_010141,P04050,DIP-5916N,NP_015487,P23293
DIP-3993N,NP_015321,Q12230,DIP-3993N,NP_015321,Q12230
DIP-851N,NP_014183,P11938,DIP-1364N,NP_010798,Q12306
DIP-1229N,NP_010061,P32797,DIP-1364N,NP_010798,Q12306
DIP-4448N,NP_013650,P07271,DIP-1364N,NP_010798,Q12306
DIP-2757N,NP_013824,Q04437,DIP-1364N,NP_010798,Q12306
DIP-3N,NP_013680,P06778,DIP-1364N,NP_010798,Q12306
DIP-6297N,NP_012024,P38850,DIP-1771N,NP_013236,Q12098
DIP-2329N,NP_014670,P15705,DIP-1274N,NP_013317,P53691
DIP-1831N,NP_010500,Q12449,DIP-1274N,NP_013317,P53691
DIP-811N,NP_013605,Q04199,DIP-8842N,-,Q07794
DIP-811N,NP_013605,Q04199,DIP-3896N,NP_014153,P53853
DIP-811N,NP_013605,Q04199,DIP-417N,NP_009564,P61830
DIP-811N,NP_013605,Q04199,DIP-418N,NP_009563,P02309
DIP-2233N,NP_012157,P40482,DIP-157N,NP_015120,P29295
DIP-2232N,NP_015507,P15303,DIP-1712N,NP_014758,Q99394
DIP-1128N,NP_011274,P53068,DIP-5915N,NP_011512,P53197
DIP-1128N,NP_011274,P53068,DIP-658N,NP_015444,P24869
DIP-5481N,NP_011402,P53135,DIP-2322N,NP_015172,P22216
DIP-5481N,NP_011402,P53135,DIP-5037N,NP_012445,P47027
DIP-5481N,NP_011402,P53135,DIP-1812N,NP_010296,Q12488
DIP-2405N,NP_013204,Q08032,DIP-5481N,NP_011402,P53135
DIP-2912N,NP_013335,P13099,DIP-4039N,NP_015301,Q02685
DIP-2324N,NP_012034,P38859,DIP-1313N,NP_013951,P32829
DIP-2911N,NP_013915,P35187,DIP-1313N,NP_013951,P32829
DIP-2324N,NP_012034,P38859,DIP-2912N,NP_013335,P13099
DIP-2324N,NP_012034,P38859,DIP-2911N,NP_013915,P35187
DIP-2417N,NP_009645,P15873,DIP-1549N,NP_013268,P61864
DIP-1364N,NP_010798,Q12306,DIP-2483N,NP_014011,P32807
DIP-1791N,NP_010669,Q12159,DIP-944N,NP_010514,P39081
DIP-944N,NP_010514,P39081,DIP-5343N,NP_010199,Q07478
DIP-725N,NP_010692,P34087,DIP-701N,NP_015411,P29055
DIP-5813N,NP_010532,Q03784,DIP-1354N,NP_010393,P46944
DIP-4528N,NP_013634,Q03630,DIP-1354N,NP_010393,P46944
DIP-1712N,NP_014758,Q99394,DIP-6482N,NP_013945,Q03660
DIP-6482N,NP_013945,Q03660,DIP-5104N,NP_011682,P32893
DIP-2802N,NP_014840,Q08601,DIP-6467N,NP_010524,P41810
DIP-2802N,NP_014840,Q08601,DIP-6468N,NP_011378,P41811
DIP-2802N,NP_014840,Q08601,DIP-6530N,NP_014314,P40850
DIP-2519N,NP_015006,P06103,DIP-2802N,NP_014840,Q08601
DIP-2802N,NP_014840,Q08601,DIP-1524N,NP_013911,P15108
DIP-2802N,NP_014840,Q08601,DIP-2262N,NP_015084,P02829
DIP-5820N,NP_014847,P06634,DIP-2802N,NP_014840,Q08601
DIP-2802N,NP_014840,Q08601,DIP-2515N,NP_010456,Q12329
DIP-2251N,NP_014335,P25491,DIP-2802N,NP_014840,Q08601
DIP-2250N,NP_009676,P02994,DIP-2802N,NP_014840,Q08601
DIP-2802N,NP_014840,Q08601,DIP-4711N,NP_012189,P40509
DIP-2802N,NP_014840,Q08601,DIP-1790N,NP_015194,P26321
DIP-5553N,NP_011730,P32905,DIP-2802N,NP_014840,Q08601
DIP-4328N,NP_014221,P05750,DIP-2802N,NP_014840,Q08601
DIP-6465N,NP_013834,P38011,DIP-2802N,NP_014840,Q08601
DIP-2802N,NP_014840,Q08601,DIP-6299N,NP_010993,P21524
DIP-2704N,NP_010157,P25694,DIP-2802N,NP_014840,Q08601
DIP-4911N,NP_010673,P32324,DIP-2802N,NP_014840,Q08601
DIP-2802N,NP_014840,Q08601,DIP-1582N,NP_013444,P05317
DIP-1573N,NP_116659,P43588,DIP-2810N,NP_011504,P21243
DIP-2822N,NP_013618,P23639,DIP-1573N,NP_116659,P43588
DIP-1573N,NP_116659,P43588,DIP-2823N,NP_011651,P23638
DIP-1573N,NP_116659,P43588,DIP-4844N,NP_014604,P40303
DIP-1573N,NP_116659,P43588,DIP-1193N,NP_011769,P32379
DIP-1573N,NP_116659,P43588,DIP-1528N,NP_014045,P40302
DIP-1526N,NP_015007,P21242,DIP-1573N,NP_116659,P43588
DIP-4186N,NP_014678,P51534,DIP-4186N,NP_014678,P51534
DIP-5761N,NP_009373,P32492,DIP-4186N,NP_014678,P51534
DIP-2372N,NP_013365,P14291,DIP-1432N,NP_013391,Q02574
DIP-2323N,NP_015130,Q08949,DIP-2372N,NP_013365,P14291
